Family,Tribe,Genus,Species,Floral constancy,Social behavior,Nesting substrate,Distribution in Costa Rica_Moure Bee Catalogue,Distribution in Costa Rica_Discoverlife,Distribution in Costa Rica_Costa Rican National Museum
Halictidae,Halictini,Agapostemon,unknown,Polylectic,Solitary / Communal,Soil galeries,"Cartago, San José","All provinces, except Alajuela","All provinces, except Alajuela"
Apidae,Apini,Apis,mellifera,Polylectic,Social,Cavities,All provinces,All provinces,All provinces
Apidae,Bombini,Bombus,ephippiatus,Polylectic,Social / Primitive social,Soil cavities,No record was found,"Cartago, San José, Alajuela, Heredia, Puntarenas",All provinces
Apidae,Bombini,Bombus,melaleucus,Polylectic,Social / Primitive social,Soil cavities,No record was found,"Cartago, San José",All provinces
Apidae,Centridini,Centris,unknown,Polylectic,Solitary,Dead tree trunk,"Guanacaste, Heredia, San José",All provinces,All provinces
Apidae,Meliponini,Cephalotrigona,zexmeniae,Polylectic,Social,Cavities,"All provinces, except Limón",All provinces,"All provinces, except San José"
Apidae,Centridini,Epicharis,unknown,Polylectic,Solitary,Soil galeries,"San José, Puntarenas,Heredia, Guanacaste","San José, Puntarenas,Heredia, Guanacaste","All provinces, except Cartago"
Apidae,Centridini,Epicharis,maculata,Polylectic,Solitary,Soil galeries,San José,"San José, Puntarenas,Heredia, Guanacaste",San José
Apidae,Euglossini,Euglossa,unknown,Polylectic,Solitary / Communal,Cavities,"Heredia, Puntarenas, Limón, San José",All provinces,All provinces
Apidae,Euglossini,Euglossa,dissimula,Polylectic,Solitary / Communal,Cavities,No record was found,Heredia,Limón
Apidae,Euglossini,Eulaema,cingulata,Polylectic,Solitary / Communal,Soil cavities,No record was found,All provinces,"Cartago, Alajuela, Puntarenas, San José, Guanacaste"
Apidae,Exomalopsini,Exomalopsis,unknown,Polylectic,Semisocial / Communal,Soil galeries,All provinces,All provinces,"Cartago, Alajuela, Puntarenas, San José, Guanacaste"
Apidae,Meliponini,Geotrigona,lutzi,Polylectic,Social,Soil cavities,"All provinces, except Heredia",All provinces,No record was found
Halictidae,Halictini,Halictus,unknown,Polylectic,Social,Soil cavities,No record was found,"All provinces, except Limón","Alajuela, Guanacaste, San José, Puntarenas"
Halictidae,Halictini,Lasioglossum,unknown,Polylectic,Social,Soil cavities,No record was found,All provinces,All provinces
Apidae,Meliponini,Lestrimelitta,danuncia,Cleptobiotic,Social / Cleptobiotic,Cavities,Cartago,"Cartago, Limón, Puntarenas, Heredia, Guanacaste","All provinces, except San José"
Apidae,Meliponini,Melipona,costaricensis,Polylectic,Social,Cavities,"Guanacaste, Heredia, San José, Limón, Puntarenas","Cartago, Limón, Puntarenas, San José, Guanacaste","Puntarenas, Guanacaste, Heredia"
Apidae,Meliponini,Melipona,falax,Polylectic,Social,Cavities,"Cartago, San José, Limón","Cartago, San José, Limon, Alajuela, Guanacaste",No record was found
Apidae,Meliponini,Nannotrigona,melleria,Polylectic,Social,Cavities,"Heredia, Puntarenas","Limón, Puntarenas, Heredia, Guanacaste","All provinces, except Alajuela"
Apidae,Meliponini,Nannotrigona,perilampoides,Polylectic,Social,Cavities,"All provinces, except San José",All provinces,"Puntarenas, Guanacaste, Limon, Heredia, Alajuela"
Apidae,Meliponini,Nogueirapis,mirandula,Polylectic,Social,Cavities,"Guanacaste, Puntarenas, San José",All provinces,No record was found
Apidae,Meliponini,Oxytrigona,mellicolor,Polylectic,Social,Cavities,"All provinces, except Cartago","All provinces, except Heredia","All provinces, except Cartago"
Apidae,Meliponini,Paratrigona,lophocoryphe,Polylectic,Social,Cavities,"Cartago, Limón","Cartago, Limón",Limón
Apidae,Meliponini,Paratrigona,opaca,Polylectic,Social,Cavities,"Limón, Puntarenas, San José","Limón, Puntarenas, San José, Heredia","Puntarenas, Heredia, Limón, San José"
Apidae,Meliponini,Paratrigona,ornaticeps,Polylectic,Social,Cavities,"Cartago, Limón, Puntarenas, San José","All provinces, except Heredia","Puntarenas, Cartago, Limón, San José, Guanacaste"
Apidae,Meliponini,Partamona,musarum,Polylectic,Social,Exposed nests,"Cartago, Limón, Heredia, San José","All provinces, except Puntarenas",All provinces
Apidae,Meliponini,Partamona,orizabaensis,Polylectic,Social,Exposed nests,All provinces,All provinces,All provinces
Apidae,Meliponini,Plebeia,unknown,Polylectic,Social,Cavities,All provinces,All provinces,"Puntarenas, Guanacaste, San José, Limón, Cartago"
Apidae,Meliponini,Plebeia,frontalis,Polylectic,Social,Cavities,All provinces,All provinces,"All provinces, except Cartago"
Apidae,Meliponini,Plebeia,jatiformis,Polylectic,Social,Cavities,"Cartago, Puntarenas","Cartago, Puntarenas, Guanacaste, Heredia","Puntarenas, Guanacaste, San José"
Apidae,Meliponini,Plebeia,llorentei,Polylectic,Social,Cavities,No record was found,No record was found,No record was found
Apidae,Meliponini,Plebeia,pulchra,Polylectic,Social,Cavities,No record was found,"Puntarenas, San José","Puntarenas, Guanacaste, San José, Alajuela"
Halictidae,Halictini,Ptilocleptis,unknown,Cleptoparasite,Cleptoparasite,Unknown,No record was found,San José,No record was found
Apidae,Meliponini,Scaptotrigona,pectoralis,Polylectic,Social,Cavities,"All provinces, except Heredia","All provinces, except Heredia","Puntarenas, Guanacaste,San José, Alajuela, Limón"
Apidae,Meliponini,Scaptotrigona,subobscuripennis,Polylectic,Social,Cavities,All provinces,All provinces,All provinces
Apidae,Meliponini,Scaura,argyrea,Polylectic,Social,Termite nest,"Cartago, Guanacaste, Puntarenas, San José","Cartago, Guanacaste, Puntarenas, San José, Limón",No record was found
Apidae,Meliponini,Tetragona,perangulata,Polylectic,Social,Cavities,"Guanacaste, Puntarenas","Guanacaste, Puntarenas",No record was found
Apidae,Meliponini,Tetragona,ziegleri,Polylectic,Social,Cavities,"All provinces, except San José","Cartago, Guanacaste, Puntarenas, Heredia, Limón",No record was found
Apidae,Meliponini,Tetragonisca,angustula,Polylectic,Social,Cavities,"All provinces, except Guanacaste",All provinces,No record was found
Apidae,Meliponini,Tetragonisca,buchwaldi,Polylectic,Social,Cavities,Puntarenas,Puntarenas,No record was found
Apidae,Eucerini,Thygater,unknown,Polylectic,Solitary,Soil galeries,"Cartago, San José","All provinces, except Alajuela","All provinces, except Cartago"
Apidae,Meliponini,Trigona,cilipes,Polylectic,Social,Exposed nests,No record was found,No record was found,Heredia
Apidae,Meliponini,Trigona,corvina,Polylectic,Social,Exposed nests,All provinces,All provinces,All provinces
Apidae,Meliponini,Trigona,unknown,Polylectic,Social,Exposed nests,All provinces,All provinces,All provinces
Apidae,Meliponini,Trigona,ferricauda,Polylectic,Social,Exposed nests,"Cartago, Heredia, Limón","Cartago, Alajuela, Heredia, Limón, Puntarenas","All provinces, except San José"
Apidae,Meliponini,Trigona,fulviventris,Polylectic,Social,Soil cavities,"All provinces, except Heredia",All provinces,All provinces
Apidae,Meliponini,Trigona,fuscipennis,Polylectic,Social,Exposed nests,"Alajuela, Limón, Puntarenas, San José, Guanacaste",All provinces,All provinces
Apidae,Meliponini,Trigona,nigerrima,Polylectic,Social,Exposed nests,"Alajuela, Limón, Puntarenas, San José","All provinces, except Alajuela",All provinces
Apidae,Meliponini,Trigona,silvestriana,Polylectic,Social,Exposed nests,All provinces,All provinces,All provinces
Apidae,Meliponini,Trigonisca,pipioli,Polylectic,Social,Cavities,No record was found,"Limón, Puntarenas, Heredia","Puntarenas, Guanacaste, Heredia, Alajuela, Limón"
Apidae,Xylocopini,Xylocopa,unknown,Polylectic,Primitive social,Wood galeries,"Guanacaste, San José",All provinces,All provinces
Apidae,Xylocopini,Xylocopa,tabaniformis,Polylectic,Primitive social,Wood galeries,No record was found,"San José,  Heredia, Puntarenas","San José, Puntarenas"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,23.076923076923077,NA,NA
