family,tribe,genus,species,floral_constancy,social_behavior,nesting_substrate,dist_moure,dist_disc,dist_nat,fc_cleptobiotic,fc_cleptoparasite,fc_polylectic,sb_cleptoparasite,sb_primitive_social,sb_semisocial,sb_communal,sb_social,sb_cleptobiotic,sb_solitary,ns_cavities,ns_dead_tree_trunk,ns_exposed_nests,ns_soil_cavities,ns_soil_galleries,ns_termite_nest,ns_unknown,ns_wood_galleries,dist_Alajuela_moure,dist_Cartago_moure,dist_Guanacaste_moure,dist_Heredia_moure,dist_Limón_moure,dist_Puntarenas_moure,dist_SanJosé_moure,dist_Alajuela_disc,dist_Cartago_disc,dist_Guanacaste_disc,dist_Heredia_disc,dist_Limón_disc,dist_Puntarenas_disc,dist_SanJosé_disc,dist_Alajuela_nat,dist_Cartago_nat,dist_Guanacaste_nat,dist_Heredia_nat,dist_Limón_nat,dist_Puntarenas_nat,dist_SanJosé_nat,dist_Alajuela_all,dist_Cartago_all,dist_Guanacaste_all,dist_Heredia_all,dist_Limón_all,dist_Puntarenas_all,dist_SanJosé_all
Halictidae,Halictini,Agapostemon,unknown,Polylectic,Solitary / Communal,soil galleries,"Cartago, San José","All provinces, except Alajuela","All provinces, except Alajuela",0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
Apidae,Apini,Apis,mellifera,Polylectic,Social,cavities,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Bombini,Bombus,ephippiatus,Polylectic,Social / Primitive social,soil cavities,No record was found,"Cartago, San José, Alajuela, Heredia, Puntarenas",All provinces,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Bombini,Bombus,melaleucus,Polylectic,Social / Primitive social,soil cavities,No record was found,"Cartago, San José",All provinces,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Centridini,Centris,unknown,Polylectic,Solitary,dead tree trunk,"Guanacaste, Heredia, San José",All provinces,All provinces,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Cephalotrigona,zexmeniae,Polylectic,Social,cavities,"All provinces, except Limón",All provinces,"All provinces, except San José",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Apidae,Centridini,Epicharis,unknown,Polylectic,Solitary,soil galleries,"San José, Puntarenas,Heredia, Guanacaste","San José, Puntarenas,Heredia, Guanacaste","All provinces, except Cartago",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Apidae,Centridini,Epicharis,maculata,Polylectic,Solitary,soil galleries,San José,"San José, Puntarenas,Heredia, Guanacaste",San José,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1
Apidae,Euglossini,Euglossa,unknown,Polylectic,Solitary / Communal,cavities,"Heredia, Puntarenas, Limón, San José",All provinces,All provinces,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Euglossini,Euglossa,dissimula,Polylectic,Solitary / Communal,cavities,No record was found,Heredia,Limón,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Apidae,Euglossini,Eulaema,cingulata,Polylectic,Solitary / Communal,soil cavities,No record was found,All provinces,"Cartago, Alajuela, Puntarenas, San José, Guanacaste",0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Apidae,Exomalopsini,Exomalopsis,unknown,Polylectic,Semisocial / Communal,soil galleries,All provinces,All provinces,"Cartago, Alajuela, Puntarenas, San José, Guanacaste",0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Geotrigona,lutzi,Polylectic,Social,soil cavities,"All provinces, except Heredia",All provinces,No record was found,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Halictidae,Halictini,Halictus,unknown,Polylectic,Social,soil cavities,No record was found,"All provinces, except Limón","Alajuela, Guanacaste, San José, Puntarenas",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1
Halictidae,Halictini,Lasioglossum,unknown,Polylectic,Social,soil cavities,No record was found,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Lestrimelitta,danuncia,Cleptobiotic,Social / Cleptobiotic,cavities,Cartago,"Cartago, Limón, Puntarenas, Heredia, Guanacaste","All provinces, except San José",1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
Apidae,Meliponini,Melipona,costaricensis,Polylectic,Social,cavities,"Guanacaste, Heredia, San José, Limón, Puntarenas","Cartago, Limón, Puntarenas, San José, Guanacaste","Puntarenas, Guanacaste, Heredia",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1
Apidae,Meliponini,Melipona,falax,Polylectic,Social,cavities,"Cartago, San José, Limón","Cartago, San José, Limón, Alajuela, Guanacaste",No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1
Apidae,Meliponini,Nannotrigona,melleria,Polylectic,Social,cavities,"Heredia, Puntarenas","Limón, Puntarenas, Heredia, Guanacaste","All provinces, except Alajuela",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
Apidae,Meliponini,Nannotrigona,perilampoides,Polylectic,Social,cavities,"All provinces, except San José",All provinces,"Puntarenas, Guanacaste, Limón, Heredia, Alajuela",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Apidae,Meliponini,Nogueirapis,mirandula,Polylectic,Social,cavities,"Guanacaste, Puntarenas, San José",All provinces,No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Apidae,Meliponini,Oxytrigona,mellicolor,Polylectic,Social,cavities,"All provinces, except Cartago","All provinces, except Heredia","All provinces, except Cartago",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Paratrigona,lophocoryphe,Polylectic,Social,cavities,"Cartago, Limón","Cartago, Limón",Limón,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
Apidae,Meliponini,Paratrigona,opaca,Polylectic,Social,cavities,"Limón, Puntarenas, San José","Limón, Puntarenas, San José, Heredia","Puntarenas, Heredia, Limón, San José",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1
Apidae,Meliponini,Paratrigona,ornaticeps,Polylectic,Social,cavities,"Cartago, Limón, Puntarenas, San José","All provinces, except Heredia","Puntarenas, Cartago, Limón, San José, Guanacaste",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1
Apidae,Meliponini,Partamona,musarum,Polylectic,Social,exposed nests,"Cartago, Limón, Heredia, San José","All provinces, except Puntarenas",All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Partamona,orizabaensis,Polylectic,Social,exposed nests,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Plebeia,unknown,Polylectic,Social,cavities,All provinces,All provinces,"Puntarenas, Guanacaste, San José, Limón, Cartago",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Plebeia,frontalis,Polylectic,Social,cavities,All provinces,All provinces,"All provinces, except Cartago",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Plebeia,jatiformis,Polylectic,Social,cavities,"Cartago, Puntarenas","Cartago, Puntarenas, Guanacaste, Heredia","Puntarenas, Guanacaste, San José",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1
Apidae,Meliponini,Plebeia,llorentei,Polylectic,Social,cavities,No record was found,No record was found,No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apidae,Meliponini,Plebeia,pulchra,Polylectic,Social,cavities,No record was found,"Puntarenas, San José","Puntarenas, Guanacaste, San José, Alajuela",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1
Halictidae,Halictini,Ptilocleptis,unknown,Cleptoparasite,Cleptoparasite,unknown,No record was found,San José,No record was found,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Apidae,Meliponini,Scaptotrigona,pectoralis,Polylectic,Social,cavities,"All provinces, except Heredia","All provinces, except Heredia","Puntarenas, Guanacaste,San José, Alajuela, Limón",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1
Apidae,Meliponini,Scaptotrigona,subobscuripennis,Polylectic,Social,cavities,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Scaura,argyrea,Polylectic,Social,termite nest,"Cartago, Guanacaste, Puntarenas, San José","Cartago, Guanacaste, Puntarenas, San José, Limón",No record was found,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
Apidae,Meliponini,Tetragona,perangulata,Polylectic,Social,cavities,"Guanacaste, Puntarenas","Guanacaste, Puntarenas",No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Apidae,Meliponini,Tetragona,ziegleri,Polylectic,Social,cavities,"All provinces, except San José","Cartago, Guanacaste, Puntarenas, Heredia, Limón",No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Apidae,Meliponini,Tetragonisca,angustula,Polylectic,Social,cavities,"All provinces, except Guanacaste",All provinces,No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Apidae,Meliponini,Tetragonisca,buchwaldi,Polylectic,Social,cavities,Puntarenas,Puntarenas,No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Apidae,Eucerini,Thygater,unknown,Polylectic,Solitary,soil galleries,"Cartago, San José","All provinces, except Alajuela","All provinces, except Cartago",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigona,cilipes,Polylectic,Social,exposed nests,No record was found,No record was found,Heredia,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Apidae,Meliponini,Trigona,corvina,Polylectic,Social,exposed nests,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigona,unknown,Polylectic,Social,exposed nests,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigona,ferricauda,Polylectic,Social,exposed nests,"Cartago, Heredia, Limón","Cartago, Alajuela, Heredia, Limón, Puntarenas","All provinces, except San José",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
Apidae,Meliponini,Trigona,fulviventris,Polylectic,Social,soil cavities,"All provinces, except Heredia",All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigona,fuscipennis,Polylectic,Social,exposed nests,"Alajuela, Limón, Puntarenas, San José, Guanacaste",All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigona,nigerrima,Polylectic,Social,exposed nests,"Alajuela, Limón, Puntarenas, San José","All provinces, except Alajuela",All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigona,silvestriana,Polylectic,Social,exposed nests,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigonisca,pipioli,Polylectic,Social,cavities,No record was found,"Limón, Puntarenas, Heredia","Puntarenas, Guanacaste, Heredia, Alajuela, Limón",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0
Apidae,Xylocopini,Xylocopa,unknown,Polylectic,Primitive social,wood galleries,"Guanacaste, San José",All provinces,All provinces,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Xylocopini,Xylocopa,tabaniformis,Polylectic,Primitive social,wood galleries,No record was found,"San José,  Heredia, Puntarenas","San José, Puntarenas",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1
